Employee#,Last Name,First Name,Date,Log In,Log Out
10001,Garcia,Manuel III,03/06/2024,8:59:00 am,6:31:00 pm
10002,Lim,Antonio,03/06/2024,10:35:00 am,7:44:00 pm
10003,Aquino,Bianca Sofia,03/06/2024,10:23:00 am,6:32:00 pm
10004,Reyes,Isabella,03/06/2024,10:57:00 am,6:14:00 pm
10005,Hernandez,Eduard,03/06/2024,9:48:00 am,5:13:00 pm
10006,Villanueva,Andrea Mae,03/06/2024,9:31:00 am,7:29:00 pm
10007,San Jose,Brad,03/06/2024,9:09:00 am,4:30:00 pm
10008,Romualdez,Alice,03/06/2024,9:02:00 am,6:06:00 pm
10009,Atienza,Rosie,03/06/2024,8:18:00 am,5:40:00 pm
10010,Alvaro,Roderick,03/06/2024,8:10:00 am,3:13:00 pm
10011,Salcedo,Anthony,03/06/2024,9:08:00 am,7:36:00 pm
10012,Lopez,Josie,03/06/2024,9:47:00 am,6:43:00 pm
10013,Farala,Martha,03/06/2024,9:48:00 am,7:21:00 pm
10014,Martinez,Leila,03/06/2024,9:23:00 am,6:09:00 pm
10015,Romualdez,Fredrick,03/06/2024,8:41:00 am,7:27:00 pm
10016,Mata,Christian,03/06/2024,8:41:00 am,4:45:00 pm
10017,De Leon,Selena,03/06/2024,9:40:00 am,5:24:00 pm
10018,San Jose,Allison,03/06/2024,8:22:00 am,4:46:00 pm
10019,Rosario,Cydney,03/06/2024,9:53:00 am,5:24:00 pm
10020,Bautista,Mark,03/06/2024,8:47:00 am,4:27:00 pm
10021,Lazaro,Darlene,03/06/2024,9:37:00 am,6:45:00 pm
10022,Delos Santos,Kolby,03/06/2024,10:54:00 am,8:10:00 pm
10023,Santos,Vella,03/06/2024,10:27:00 am,8:10:00 pm
10024,Del Rosario,Tomas,03/06/2024,9:16:00 am,5:57:00 pm
10025,Tolentino,Jacklyn,03/06/2024,10:18:00 am,6:07:00 pm
10026,Gutierrez,Percival,03/06/2024,8:17:00 am,6:31:00 pm
10027,Manalaysay,Garfield,03/06/2024,9:05:00 am,7:14:00 pm
10028,Villegas,Lizeth,03/06/2024,8:52:00 am,5:23:00 pm
10029,Ramos,Carol,03/06/2024,10:57:00 am,9:44:00 pm
10030,Maceda,Emelia,03/06/2024,9:04:00 am,4:39:00 pm
10031,Aguilar,Delia,03/06/2024,10:07:00 am,8:51:00 pm
10032,Castro,John Rafael,03/06/2024,8:29:00 am,4:46:00 pm
10033,Martinez,Carlos Ian,03/06/2024,10:02:00 am,7:39:00 pm
10034,Santos,Beatriz,03/06/2024,10:05:00 am,6:12:00 pm
10001,Garcia,Manuel III,04/06/2024,9:47:00 am,7:07:00 pm
10002,Lim,Antonio,04/06/2024,10:11:00 am,8:16:00 pm
10003,Aquino,Bianca Sofia,04/06/2024,10:45:00 am,8:37:00 pm
10004,Reyes,Isabella,04/06/2024,9:45:00 am,4:54:00 pm
10005,Hernandez,Eduard,04/06/2024,9:50:00 am,8:20:00 pm
10006,Villanueva,Andrea Mae,04/06/2024,10:00:00 am,8:12:00 pm
10007,San Jose,Brad,04/06/2024,9:16:00 am,4:18:00 pm
10008,Romualdez,Alice,04/06/2024,9:36:00 am,6:56:00 pm
10009,Atienza,Rosie,04/06/2024,10:41:00 am,7:21:00 pm
10010,Alvaro,Roderick,04/06/2024,8:05:00 am,6:36:00 pm
10011,Salcedo,Anthony,04/06/2024,9:58:00 am,5:04:00 pm
10012,Lopez,Josie,04/06/2024,8:41:00 am,4:55:00 pm
10013,Farala,Martha,04/06/2024,8:13:00 am,5:58:00 pm
10014,Martinez,Leila,04/06/2024,9:11:00 am,5:10:00 pm
10015,Romualdez,Fredrick,04/06/2024,10:35:00 am,6:43:00 pm
10016,Mata,Christian,04/06/2024,10:15:00 am,6:12:00 pm
10017,De Leon,Selena,04/06/2024,9:04:00 am,5:32:00 pm
10018,San Jose,Allison,04/06/2024,10:40:00 am,9:01:00 pm
10019,Rosario,Cydney,04/06/2024,8:05:00 am,6:10:00 pm
10020,Bautista,Mark,04/06/2024,9:05:00 am,6:27:00 pm
10021,Lazaro,Darlene,04/06/2024,8:59:00 am,7:50:00 pm
10022,Delos Santos,Kolby,04/06/2024,10:58:00 am,6:51:00 pm
10023,Santos,Vella,04/06/2024,10:06:00 am,8:32:00 pm
10024,Del Rosario,Tomas,04/06/2024,8:35:00 am,6:14:00 pm
10025,Tolentino,Jacklyn,04/06/2024,8:01:00 am,3:39:00 pm
10026,Gutierrez,Percival,04/06/2024,8:25:00 am,4:41:00 pm
10027,Manalaysay,Garfield,04/06/2024,10:47:00 am,8:39:00 pm
10028,Villegas,Lizeth,04/06/2024,10:05:00 am,7:33:00 pm
10029,Ramos,Carol,04/06/2024,10:38:00 am,8:56:00 pm
10030,Maceda,Emelia,04/06/2024,8:20:00 am,4:30:00 pm
10031,Aguilar,Delia,04/06/2024,10:13:00 am,5:52:00 pm
10032,Castro,John Rafael,04/06/2024,8:48:00 am,4:36:00 pm
10033,Martinez,Carlos Ian,04/06/2024,10:10:00 am,6:54:00 pm
10034,Santos,Beatriz,04/06/2024,9:35:00 am,7:15:00 pm
10001,Garcia,Manuel III,05/06/2024,10:57:00 am,9:32:00 pm
10002,Lim,Antonio,05/06/2024,9:24:00 am,7:19:00 pm
10003,Aquino,Bianca Sofia,05/06/2024,9:18:00 am,6:46:00 pm
10004,Reyes,Isabella,05/06/2024,8:44:00 am,6:31:00 pm
10005,Hernandez,Eduard,05/06/2024,9:10:00 am,5:17:00 pm
10006,Villanueva,Andrea Mae,05/06/2024,8:28:00 am,4:52:00 pm
10007,San Jose,Brad,05/06/2024,9:25:00 am,5:45:00 pm
10008,Romualdez,Alice,05/06/2024,10:44:00 am,6:51:00 pm
10009,Atienza,Rosie,05/06/2024,10:46:00 am,5:54:00 pm
10010,Alvaro,Roderick,05/06/2024,9:48:00 am,7:19:00 pm
10011,Salcedo,Anthony,05/06/2024,10:50:00 am,8:28:00 pm
10012,Lopez,Josie,05/06/2024,8:52:00 am,7:40:00 pm
10013,Farala,Martha,05/06/2024,8:49:00 am,4:12:00 pm
10014,Martinez,Leila,05/06/2024,8:50:00 am,6:10:00 pm
10015,Romualdez,Fredrick,05/06/2024,8:06:00 am,5:06:00 pm
10016,Mata,Christian,05/06/2024,9:29:00 am,7:25:00 pm
10017,De Leon,Selena,05/06/2024,8:08:00 am,5:06:00 pm
10018,San Jose,Allison,05/06/2024,9:09:00 am,7:20:00 pm
10019,Rosario,Cydney,05/06/2024,9:14:00 am,7:40:00 pm
10020,Bautista,Mark,05/06/2024,10:42:00 am,9:00:00 pm
10021,Lazaro,Darlene,05/06/2024,10:18:00 am,6:05:00 pm
10022,Delos Santos,Kolby,05/06/2024,10:55:00 am,9:26:00 pm
10023,Santos,Vella,05/06/2024,10:01:00 am,8:19:00 pm
10024,Del Rosario,Tomas,05/06/2024,9:19:00 am,7:00:00 pm
10025,Tolentino,Jacklyn,05/06/2024,10:50:00 am,6:44:00 pm
10026,Gutierrez,Percival,05/06/2024,10:11:00 am,7:17:00 pm
10027,Manalaysay,Garfield,05/06/2024,8:57:00 am,5:35:00 pm
10028,Villegas,Lizeth,05/06/2024,10:14:00 am,7:01:00 pm
10029,Ramos,Carol,05/06/2024,8:02:00 am,3:06:00 pm
10030,Maceda,Emelia,05/06/2024,9:24:00 am,5:30:00 pm
10031,Aguilar,Delia,05/06/2024,9:24:00 am,6:09:00 pm
10032,Castro,John Rafael,05/06/2024,10:33:00 am,7:11:00 pm
10033,Martinez,Carlos Ian,05/06/2024,9:59:00 am,6:34:00 pm
10034,Santos,Beatriz,05/06/2024,10:38:00 am,6:12:00 pm
10001,Garcia,Manuel III,06/06/2024,9:32:00 am,7:15:00 pm
10002,Lim,Antonio,06/06/2024,10:47:00 am,8:43:00 pm
10003,Aquino,Bianca Sofia,06/06/2024,10:10:00 am,6:01:00 pm
10004,Reyes,Isabella,06/06/2024,10:09:00 am,6:01:00 pm
10005,Hernandez,Eduard,06/06/2024,10:47:00 am,7:28:00 pm
10006,Villanueva,Andrea Mae,06/06/2024,10:11:00 am,5:27:00 pm
10007,San Jose,Brad,06/06/2024,9:51:00 am,7:58:00 pm
10008,Romualdez,Alice,06/06/2024,9:21:00 am,4:49:00 pm
10009,Atienza,Rosie,06/06/2024,8:47:00 am,5:44:00 pm
10010,Alvaro,Roderick,06/06/2024,10:51:00 am,7:37:00 pm
10011,Salcedo,Anthony,06/06/2024,10:31:00 am,8:05:00 pm
10012,Lopez,Josie,06/06/2024,8:55:00 am,3:56:00 pm
10013,Farala,Martha,06/06/2024,10:55:00 am,9:18:00 pm
10014,Martinez,Leila,06/06/2024,9:08:00 am,5:30:00 pm
10015,Romualdez,Fredrick,06/06/2024,8:12:00 am,6:22:00 pm
10016,Mata,Christian,06/06/2024,9:11:00 am,6:56:00 pm
10017,De Leon,Selena,06/06/2024,10:10:00 am,7:33:00 pm
10018,San Jose,Allison,06/06/2024,8:25:00 am,3:51:00 pm
10019,Rosario,Cydney,06/06/2024,9:08:00 am,5:46:00 pm
10020,Bautista,Mark,06/06/2024,8:39:00 am,5:39:00 pm
10021,Lazaro,Darlene,06/06/2024,8:03:00 am,4:44:00 pm
10022,Delos Santos,Kolby,06/06/2024,8:09:00 am,6:21:00 pm
10023,Santos,Vella,06/06/2024,10:55:00 am,7:53:00 pm
10024,Del Rosario,Tomas,06/06/2024,10:00:00 am,7:11:00 pm
10025,Tolentino,Jacklyn,06/06/2024,10:05:00 am,5:32:00 pm
10026,Gutierrez,Percival,06/06/2024,8:13:00 am,3:42:00 pm
10027,Manalaysay,Garfield,06/06/2024,9:01:00 am,6:33:00 pm
10028,Villegas,Lizeth,06/06/2024,8:02:00 am,5:46:00 pm
10029,Ramos,Carol,06/06/2024,8:56:00 am,5:22:00 pm
10030,Maceda,Emelia,06/06/2024,9:59:00 am,8:54:00 pm
10031,Aguilar,Delia,06/06/2024,9:23:00 am,4:24:00 pm
10032,Castro,John Rafael,06/06/2024,10:24:00 am,8:21:00 pm
10033,Martinez,Carlos Ian,06/06/2024,10:55:00 am,9:16:00 pm
10034,Santos,Beatriz,06/06/2024,9:49:00 am,7:09:00 pm
10001,Garcia,Manuel III,07/06/2024,9:46:00 am,7:15:00 pm
10002,Lim,Antonio,07/06/2024,9:41:00 am,8:01:00 pm
10003,Aquino,Bianca Sofia,07/06/2024,10:22:00 am,8:15:00 pm
10004,Reyes,Isabella,07/06/2024,9:28:00 am,6:11:00 pm
10005,Hernandez,Eduard,07/06/2024,8:14:00 am,4:58:00 pm
10006,Villanueva,Andrea Mae,07/06/2024,8:18:00 am,6:23:00 pm
10007,San Jose,Brad,07/06/2024,8:12:00 am,3:12:00 pm
10008,Romualdez,Alice,07/06/2024,8:19:00 am,4:22:00 pm
10009,Atienza,Rosie,07/06/2024,10:09:00 am,8:58:00 pm
10010,Alvaro,Roderick,07/06/2024,9:08:00 am,5:12:00 pm
10011,Salcedo,Anthony,07/06/2024,8:05:00 am,6:24:00 pm
10012,Lopez,Josie,07/06/2024,10:26:00 am,7:03:00 pm
10013,Farala,Martha,07/06/2024,8:37:00 am,4:15:00 pm
10014,Martinez,Leila,07/06/2024,8:30:00 am,5:31:00 pm
10015,Romualdez,Fredrick,07/06/2024,9:56:00 am,8:26:00 pm
10016,Mata,Christian,07/06/2024,9:41:00 am,4:51:00 pm
10017,De Leon,Selena,07/06/2024,9:50:00 am,6:23:00 pm
10018,San Jose,Allison,07/06/2024,9:19:00 am,5:38:00 pm
10019,Rosario,Cydney,07/06/2024,10:04:00 am,5:34:00 pm
10020,Bautista,Mark,07/06/2024,8:45:00 am,5:21:00 pm
10021,Lazaro,Darlene,07/06/2024,9:52:00 am,7:04:00 pm
10022,Delos Santos,Kolby,07/06/2024,9:02:00 am,4:29:00 pm
10023,Santos,Vella,07/06/2024,10:13:00 am,6:01:00 pm
10024,Del Rosario,Tomas,07/06/2024,9:56:00 am,4:59:00 pm
10025,Tolentino,Jacklyn,07/06/2024,10:23:00 am,8:19:00 pm
10026,Gutierrez,Percival,07/06/2024,8:04:00 am,5:41:00 pm
10027,Manalaysay,Garfield,07/06/2024,9:36:00 am,5:22:00 pm
10028,Villegas,Lizeth,07/06/2024,8:29:00 am,7:24:00 pm
10029,Ramos,Carol,07/06/2024,9:56:00 am,8:35:00 pm
10030,Maceda,Emelia,07/06/2024,8:33:00 am,7:10:00 pm
10031,Aguilar,Delia,07/06/2024,9:18:00 am,6:25:00 pm
10032,Castro,John Rafael,07/06/2024,8:52:00 am,7:40:00 pm
10033,Martinez,Carlos Ian,07/06/2024,8:02:00 am,3:02:00 pm
10034,Santos,Beatriz,07/06/2024,10:38:00 am,9:21:00 pm
10001,Garcia,Manuel III,10/06/2024,9:10:00 am,6:36:00 pm
10002,Lim,Antonio,10/06/2024,8:02:00 am,6:40:00 pm
10003,Aquino,Bianca Sofia,10/06/2024,8:58:00 am,5:52:00 pm
10004,Reyes,Isabella,10/06/2024,10:10:00 am,6:58:00 pm
10005,Hernandez,Eduard,10/06/2024,8:05:00 am,6:04:00 pm
10006,Villanueva,Andrea Mae,10/06/2024,8:10:00 am,4:39:00 pm
10007,San Jose,Brad,10/06/2024,10:03:00 am,5:48:00 pm
10008,Romualdez,Alice,10/06/2024,10:06:00 am,7:18:00 pm
10009,Atienza,Rosie,10/06/2024,8:21:00 am,5:52:00 pm
10010,Alvaro,Roderick,10/06/2024,10:55:00 am,7:46:00 pm
10011,Salcedo,Anthony,10/06/2024,8:34:00 am,6:32:00 pm
10012,Lopez,Josie,10/06/2024,8:58:00 am,5:00:00 pm
10013,Farala,Martha,10/06/2024,8:06:00 am,3:55:00 pm
10014,Martinez,Leila,10/06/2024,9:43:00 am,7:52:00 pm
10015,Romualdez,Fredrick,10/06/2024,10:27:00 am,8:11:00 pm
10016,Mata,Christian,10/06/2024,9:58:00 am,8:46:00 pm
10017,De Leon,Selena,10/06/2024,9:52:00 am,6:35:00 pm
10018,San Jose,Allison,10/06/2024,10:51:00 am,8:16:00 pm
10019,Rosario,Cydney,10/06/2024,9:10:00 am,5:11:00 pm
10020,Bautista,Mark,10/06/2024,10:10:00 am,6:23:00 pm
10021,Lazaro,Darlene,10/06/2024,9:03:00 am,4:45:00 pm
10022,Delos Santos,Kolby,10/06/2024,10:26:00 am,5:58:00 pm
10023,Santos,Vella,10/06/2024,9:25:00 am,4:34:00 pm
10024,Del Rosario,Tomas,10/06/2024,10:08:00 am,7:10:00 pm
10025,Tolentino,Jacklyn,10/06/2024,8:18:00 am,6:17:00 pm
10026,Gutierrez,Percival,10/06/2024,8:42:00 am,5:01:00 pm
10027,Manalaysay,Garfield,10/06/2024,8:06:00 am,3:36:00 pm
10028,Villegas,Lizeth,10/06/2024,9:28:00 am,4:52:00 pm
10029,Ramos,Carol,10/06/2024,9:09:00 am,5:05:00 pm
10030,Maceda,Emelia,10/06/2024,8:21:00 am,5:24:00 pm
10031,Aguilar,Delia,10/06/2024,10:24:00 am,8:26:00 pm
10032,Castro,John Rafael,10/06/2024,10:13:00 am,8:59:00 pm
10033,Martinez,Carlos Ian,10/06/2024,8:14:00 am,5:40:00 pm
10034,Santos,Beatriz,10/06/2024,8:01:00 am,5:28:00 pm
10001,Garcia,Manuel III,11/06/2024,10:30:00 am,8:53:00 pm
10002,Lim,Antonio,11/06/2024,9:55:00 am,7:49:00 pm
10003,Aquino,Bianca Sofia,11/06/2024,9:35:00 am,5:06:00 pm
10004,Reyes,Isabella,11/06/2024,9:28:00 am,8:26:00 pm
10005,Hernandez,Eduard,11/06/2024,8:48:00 am,4:10:00 pm
10006,Villanueva,Andrea Mae,11/06/2024,9:26:00 am,6:47:00 pm
10007,San Jose,Brad,11/06/2024,9:18:00 am,5:50:00 pm
10008,Romualdez,Alice,11/06/2024,8:09:00 am,5:46:00 pm
10009,Atienza,Rosie,11/06/2024,8:28:00 am,6:03:00 pm
10010,Alvaro,Roderick,11/06/2024,8:23:00 am,3:46:00 pm
10011,Salcedo,Anthony,11/06/2024,10:09:00 am,5:16:00 pm
10012,Lopez,Josie,11/06/2024,10:11:00 am,6:50:00 pm
10013,Farala,Martha,11/06/2024,8:40:00 am,7:20:00 pm
10014,Martinez,Leila,11/06/2024,10:46:00 am,8:44:00 pm
10015,Romualdez,Fredrick,11/06/2024,8:51:00 am,5:19:00 pm
10016,Mata,Christian,11/06/2024,9:10:00 am,4:26:00 pm
10017,De Leon,Selena,11/06/2024,9:47:00 am,7:03:00 pm
10018,San Jose,Allison,11/06/2024,9:32:00 am,5:59:00 pm
10019,Rosario,Cydney,11/06/2024,9:49:00 am,7:35:00 pm
10020,Bautista,Mark,11/06/2024,9:59:00 am,5:53:00 pm
10021,Lazaro,Darlene,11/06/2024,9:33:00 am,6:51:00 pm
10022,Delos Santos,Kolby,11/06/2024,9:28:00 am,6:33:00 pm
10023,Santos,Vella,11/06/2024,8:48:00 am,7:10:00 pm
10024,Del Rosario,Tomas,11/06/2024,9:49:00 am,5:56:00 pm
10025,Tolentino,Jacklyn,11/06/2024,8:21:00 am,5:48:00 pm
10026,Gutierrez,Percival,11/06/2024,10:35:00 am,8:15:00 pm
10027,Manalaysay,Garfield,11/06/2024,10:18:00 am,7:33:00 pm
10028,Villegas,Lizeth,11/06/2024,8:56:00 am,6:11:00 pm
10029,Ramos,Carol,11/06/2024,9:43:00 am,7:23:00 pm
10030,Maceda,Emelia,11/06/2024,8:20:00 am,6:18:00 pm
10031,Aguilar,Delia,11/06/2024,9:04:00 am,5:38:00 pm
10032,Castro,John Rafael,11/06/2024,9:11:00 am,5:52:00 pm
10033,Martinez,Carlos Ian,11/06/2024,10:15:00 am,8:21:00 pm
10034,Santos,Beatriz,11/06/2024,10:39:00 am,5:46:00 pm
10001,Garcia,Manuel III,12/06/2024,8:37:00 am,6:25:00 pm
10002,Lim,Antonio,12/06/2024,9:04:00 am,6:20:00 pm
10003,Aquino,Bianca Sofia,12/06/2024,10:51:00 am,8:14:00 pm
10004,Reyes,Isabella,12/06/2024,9:12:00 am,4:56:00 pm
10005,Hernandez,Eduard,12/06/2024,10:10:00 am,6:34:00 pm
10006,Villanueva,Andrea Mae,12/06/2024,9:15:00 am,6:49:00 pm
10007,San Jose,Brad,12/06/2024,9:01:00 am,4:14:00 pm
10008,Romualdez,Alice,12/06/2024,9:55:00 am,5:36:00 pm
10009,Atienza,Rosie,12/06/2024,10:27:00 am,8:01:00 pm
10010,Alvaro,Roderick,12/06/2024,10:48:00 am,7:52:00 pm
10011,Salcedo,Anthony,12/06/2024,8:57:00 am,7:50:00 pm
